PID5,PID5FSF,PID5BF,Reverse,INC,INCS,ORS,PRD,SDTD,Facet,Stem
1,,,FALSE,,,,,,Anhedonia,"I don't get as much pleasure out of things as others seem to."
2,1,,FALSE,,,1,1,1,Suspiciousness,"Plenty of people are out to get me."
3,,1,FALSE,,,,,,Risk Taking,People would describe me as reckless.
4,2,2,FALSE,,,,,2,Impulsivity,I feel like I act totally on impulse.
5,,,FALSE,,,,,,Eccentricity,I often have ideas that are too unusual to explain to anyone.
6,,,FALSE,,,,,,Distractibility,"I lose track of conversations because other things catch my attention."
7,,,TRUE,,,,,,Risk Taking,I avoid risky situations.
8,,,FALSE,,,2,,,Restricted Affectivity,"When it comes to my emotions, people tell me I'm a 'cold fish'."
9,3,,FALSE,,,,,,Submissiveness,I change what I do depending on what others want.
10,,,FALSE,,,,,,Withdrawal,I prefer not to get too close to people.
11,,,FALSE,,,,2,,Callousness,I often get into physical fights.
12,,,FALSE,,,,,,Separation Insecurity,I dread being without someone to love me.
13,,,FALSE,,,,,,Callousness,Being rude and unfriendly is just a part of who I am.
14,,,FALSE,,,,,,Attention Seeking,I do things to make sure people notice me.
15,4,,FALSE,,,,,,Submissiveness,I usually do what others think I should do.
16,5,,FALSE,,,,,,Impulsivity,I usually do things on impulse without thinking about what might happen as a result.
17,6,3,FALSE,,,,,,Impulsivity,"Even though I know better, I can't stop making rash decisions."
18,,,FALSE,,,,,3,Emotional Lability,My emotions sometimes change for no good reason.
19,7,,FALSE,,,,,,Callousness,"I really don't care if I make other people suffer."
20,,,FALSE,,,,,,Withdrawal,I keep to myself.
21,,,FALSE,16,,,,,Eccentricity,I often say things that others find odd or strange.
22,8,,FALSE,,,,,,Impulsivity,I always do things on the spur of the moment.
23,9,,FALSE,,,,,4,Anhedonia,Nothing seems to interest me very much.
24,,,FALSE,17,,,,,Eccentricity,Other people seem to think my behavior is weird.
25,10,,FALSE,17,,,,,Eccentricity,"People have told me that I think about things in a really strange way."
26,11,,FALSE,,,,,,Anhedonia,I almost never enjoy life.
27,,4,FALSE,,,,,,Depressivity,I often feel like nothing I do really matters.
28,,,FALSE,,,,,,Hostility,I snap at people when they do little things that irritate me.
29,,,FALSE,,,,,,Distractibility,I can't concentrate on anything.
30,,,TRUE,,,,,5,Anhedonia,I'm an energetic person.
31,,5,FALSE,,,,,,Irresponsibility,Others see me as irresponsible.
32,,,FALSE,,,,,,Hostility,I can be mean when I need to be.
33,,,FALSE,,,,,,Eccentricity,My thoughts often go off in odd or unusual directions.
34,,,FALSE,,,,,,Rigid Perfectionism,"I've been told that I spend too much time making sure things are exactly in place."
35,,,TRUE,,,,,,Risk Taking,I avoid risky sports and activities.
36,,,FALSE,,,,3,,Perceptual Dysregulation,I can have trouble telling the difference between dreams and waking life.
37,,,FALSE,,,,,,Perceptual Dysregulation,"Sometimes I get this weird feeling that parts of my body feel like they're dead or not really me."
38,12,,FALSE,6,,,4,6,Hostility,I am easily angered.
39,13,,FALSE,,,3,,,Risk Taking,I have no limits when it comes to doing dangerous things.
40,14,,FALSE,,,4,,,Grandiosity,"To be honest, I'm just more important than other people."
41,,,FALSE,,,,,,Deceitfulness,"I make up stories about things that happened that are totally untrue."
42,,,FALSE,,,,5,,Perceptual Dysregulation,People often talk about me doing things I don't remember at all.
43,,,FALSE,,,,,,Attention Seeking,I do things so that people just have to admire me.
44,15,,FALSE,,,5,,,Perceptual Dysregulation,"It's weird, but sometimes ordinary objects seem to be a different shape than usual."
45,,,FALSE,,,,,,Restricted Affectivity,I don't have very long-lasting emotional reactions to things.
46,,,FALSE,,,,,,Perseveration,"It is hard for me to stop an activity, even when it's time to do so."
47,,6,FALSE,,,,6,,Distractibility,I'm not good at planning ahead.
48,16,,FALSE,,,,,,Risk Taking,I do a lot of things that others consider risky.
49,,,FALSE,,,,,,Rigid Perfectionism,People tell me that I focus too much on minor details.
50,17,,FALSE,9,5,,,7,Separation Insecurity,I worry a lot about being alone.
51,,,FALSE,,,,,,Perseveration,I've missed out on things because I was busy trying to get something I was doing exactly right.
52,,7,FALSE,18,,,,8,Eccentricity,My thoughts often don't make sense to others.
53,18,,FALSE,,,,,,Deceitfulness,I often make up things about myself to help me get what I want.
54,,,FALSE,,,,,,Callousness,It doesn't really bother me to see other people get hurt.
55,,,FALSE,16,,,,,Eccentricity,People often look at me as if I'd said something really weird.
56,,,FALSE,,,,,,Deceitfulness,People don't realize that I'm flattering them to get something.
57,,,FALSE,,,,,9,Separation Insecurity,I'd rather be in a bad relationship than be alone.
58,,,TRUE,,,,,,Impulsivity,I usually think before I act.
59,,,FALSE,,,,,,Perceptual Dysregulation,I often see vivid dream-like images when I'm falling asleep or waking up.
